protocol,raw_count,valid_before_test_count,invalid_count,duplicate_count,renamed_count,country_count,alive_count,strict_alive_count,dead_count,final_output_count,max_delay_ms,blacklist_terms_count,yaml_file,txt_file,raw_file
vmess,6828,1085,4669,1074,1083,21,2,2,1083,2,8000,0,output/Yaml/vmess.yaml,output/Txt/vmess.txt,output/Raw/vmess.txt
vless,5309,459,4197,653,441,39,49,49,410,49,8000,0,output/Yaml/vless.yaml,output/Txt/vless.txt,output/Raw/vless.txt
trojan,1252,174,405,673,172,32,27,27,147,27,8000,0,output/Yaml/trojan.yaml,output/Txt/trojan.txt,output/Raw/trojan.txt
